ФИО_аудитора_ПАБ;Должность_(профессия)_аудитора_ПАБ;Дата_проведения_ПАБ;Стаж_аудитора_ПАБ;Возраст_аудитора_ПАБ;Продолжительность_междувахтового_отдыха_аудитора_ПАБ;Продолжительность_вахты аудитора_ПАБ;Время_на_вахте_аудитора_ПАБ;ФИО_работника;Профессия_работника;Стаж_работника;Стаж_категории;Возраст_работника;Возраст_категории;Продолжительность_вахты;Продолжительность_междувахтового_отдыха;Балл_анкетирования;Балл_категории;Индекс_массы_тела;Индекс_категории;Адаптационный_потенциал;Адаптационный_потенциал_категории;Нахождение_на_рабочей_вахте;Физическое_утомление;Месяц_ПАБ;Переход_из_ночной_смены;Выход_после_праздника;Выявленные_опасные_действия
2;11;01.03.2024;23;46;48;30;21;59;4;15;4;44;3;30;30;-1;3;24,44;2;2,753;2;21;0;3;0;0;0
14;8;04.03.2024;30;56;63;28;25;202;2;24;5;54;4;28;63;3;3;23,45;2;2,848;2;9;0;3;0;0;0
14;8;04.03.2024;30;56;63;28;25;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;40;1;3;0;0;0
51;12;30.03.2024;34;55;30;28;15;174;7;33;6;55;4;30;30;-23;2;34,02;3;3,168;3;22;0;3;0;0;0
30;5;01.04.2024;16;52;28;32;18;112;7;22;5;46;4;45;45;-30;1;37,18;3;3,109;3;8;0;4;0;0;0
16;7;04.04.2024;8;43;31;32;13;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;13;0;4;0;0;0
9;2;06.04.2024;3;31;30;39;22;108;2;11;4;33;2;38;42;3;3;35,06;3;2,914;2;35;1;4;0;0;0
9;2;06.04.2024;3;31;30;39;22;107;2;3;2;26;2;30;42;2;3;22,92;2;2,456;1;9;0;4;0;0;0
17;2;04.04.2024;3;30;30;30;1;83;2;10;4;32;2;33;27;-1;3;23,45;2;2,549;1;28;1;4;0;0;1
17;2;04.04.2024;3;30;30;30;1;143;2;6;4;28;2;34;63;6;3;27,7;3;2,619;2;24;0;4;0;0;1
17;2;06.04.2024;3;30;30;30;1;143;2;6;4;28;2;34;63;6;3;27,7;3;2,619;2;26;1;4;0;0;1
17;2;06.04.2024;3;30;30;30;1;107;2;3;2;26;2;30;42;2;3;22,92;2;2,456;1;9;0;4;0;0;1
49;4;04.04.2024;15;54;45;45;12;25;4;3;2;37;3;32;34;-6;3;25,86;3;2,7;2;21;0;4;0;0;0
49;4;04.04.2024;15;54;45;45;12;194;4;22;5;48;4;24;21;-10;3;32,1;3;3,034;2;20;0;4;0;0;0
18;6;08.04.2024;1;38;30;30;15;137;2;17;5;40;3;34;32;-1;3;33,39;3;2,953;2;28;1;4;0;0;0
47;5;05.04.2024;13;41;29;31;10;134;5;29;5;57;5;32;30;-32;1;37,18;3;3,277;3;22;0;4;0;0;0
36;9;05.04.2024;15;50;32;30;25;134;5;29;5;57;5;32;30;-32;1;37,18;3;3,277;3;22;0;4;0;0;0
47;5;06.04.2024;13;41;29;31;11;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;15;0;4;0;0;0
36;9;06.04.2024;15;50;32;30;26;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;15;0;4;0;0;0
42;3;08.04.2024;4;34;44;32;29;198;3;11;4;49;4;36;46;-19;2;21,22;2;2,706;2;30;1;4;0;0;0
42;3;09.04.2024;4;34;44;32;30;138;3;16;5;42;3;34;32;-10;3;29,03;3;2,851;2;29;1;4;0;0;0
30;5;11.04.2024;16;52;28;32;18;153;7;24;5;53;4;31;32;-17;2;27,77;3;2,969;2;2;0;4;0;0;0
30;5;11.04.2024;16;52;28;32;18;18;7;5;3;29;2;32;30;-3;3;25,8;3;2,603;2;12;0;4;0;0;0
18;6;15.04.2024;1;38;30;30;15;186;2;13;4;40;3;30;30;11;4;29,67;3;2,841;2;22;0;4;0;0;0
51;12;13.04.2024;34;55;33;33;30;50;7;23;5;45;3;44;32;-24;2;37,74;3;3,154;3;5;0;4;0;0;0
51;12;15.04.2024;34;55;33;33;32;153;7;24;5;53;4;31;32;-17;2;27,77;3;2,969;2;6;0;4;0;0;0
14;8;13.04.2024;30;56;32;29;5;171;2;15;4;47;4;38;52;-9;3;25,11;3;2,804;2;6;0;4;0;0;0
14;8;13.04.2024;30;56;32;29;5;186;2;13;4;40;3;30;30;11;4;29,67;3;2,841;2;20;0;4;0;0;0
39;3;10.04.2024;16;52;30;31;1;214;3;29;5;47;4;35;73;-10;3;25,71;3;2,84;2;19;0;4;0;0;0
39;3;10.04.2024;16;52;30;31;1;198;3;11;4;49;4;36;46;-19;2;21,22;2;2,706;2;32;1;4;0;0;0
39;3;18.04.2024;16;52;30;31;9;191;3;33;6;56;5;40;50;-4;3;19,91;2;2,781;2;4;0;4;0;0;0
39;3;18.04.2024;16;52;30;31;9;163;3;13;4;35;2;45;30;-12;2;21,36;2;2,555;1;26;1;4;0;0;0
43;10;18.04.2024;33;55;50;40;4;163;3;13;4;35;2;45;30;-12;2;21,36;2;2,555;1;26;1;4;0;0;0
14;8;18.04.2024;30;56;32;29;10;171;2;15;4;47;4;38;52;-9;3;25,11;3;2,804;2;11;0;4;0;0;0
14;8;18.04.2024;30;56;32;29;10;186;2;13;4;40;3;30;30;11;4;29,67;3;2,841;2;25;0;4;0;0;0
5;1;15.04.2024;8;53;28;35;4;42;2;2;2;22;1;30;61;-4;3;19,44;2;2,292;1;6;0;4;0;0;0
5;1;15.04.2024;8;53;28;35;4;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;23;0;4;0;0;0
2;11;22.04.2024;23;46;36;29;7;183;4;1;1;22;1;34;31;1;3;21,98;2;2,364;1;11;0;4;0;0;0
15;5;23.04.2024;16;53;31;30;9;153;7;24;5;53;4;31;32;-17;2;27,77;3;2,969;2;14;0;4;0;0;0
15;5;23.04.2024;16;53;31;30;9;112;7;22;5;46;4;45;45;-30;1;37,18;3;3,109;3;30;1;4;0;0;0
20;6;24.04.2024;14;47;32;29;1;66;2;30;5;56;5;29;32;-29;2;27,74;3;3,011;2;16;0;4;0;0;0
20;6;24.04.2024;14;47;32;29;1;171;2;15;4;47;4;38;52;-9;3;25,11;3;2,804;2;17;0;4;0;0;0
2;11;26.04.2024;23;46;36;29;11;105;4;13;4;47;4;30;31;1;3;27,7;3;2,885;2;10;0;4;0;0;0
2;11;26.04.2024;23;46;36;29;11;103;4;8;4;44;3;28;53;-10;3;32,66;3;2,969;2;10;0;4;0;0;0
49;4;26.04.2024;15;54;45;45;12;105;4;13;4;47;4;30;31;1;3;27,7;3;2,885;2;10;0;4;0;0;0
49;4;26.04.2024;15;54;45;45;12;103;4;8;4;44;3;28;53;-10;3;32,66;3;2,969;2;10;0;4;0;0;0
12;2;27.04.2024;9;38;44;48;5;42;2;2;2;22;1;30;61;-4;3;19,44;2;2,292;1;18;0;4;0;0;0
12;2;27.04.2024;9;38;44;48;5;23;2;9;4;32;2;28;33;-2;3;23,18;2;2,549;1;16;0;4;0;0;0
20;6;29.04.2024;14;47;32;29;6;66;2;30;5;56;5;29;32;-29;2;27,74;3;3,011;2;21;0;4;0;0;0
20;6;29.04.2024;14;47;32;29;6;202;2;24;5;54;4;29;32;3;3;23,45;2;2,848;2;5;0;4;0;0;0
20;6;29.04.2024;14;47;32;29;6;172;2;3;2;32;2;29;31;-3;3;32,4;3;2,828;2;4;0;4;0;0;0
15;5;29.04.2024;16;53;31;30;15;74;7;18;5;40;3;34;27;-28;2;29,74;3;2,841;4;22;0;4;0;0;0
43;10;30.04.2024;33;55;50;40;16;144;3;29;5;50;4;30;27;-3;3;26,23;3;2,882;4;19;0;4;0;0;0
39;3;02.05.2024;16;52;30;31;23;191;3;33;6;56;5;40;50;-4;3;19,91;2;2,781;2;18;0;5;0;1;0
39;3;02.05.2024;16;52;30;31;23;163;3;13;4;35;2;45;30;-12;2;21,36;2;2,555;1;40;1;5;0;1;0
39;3;02.05.2024;16;52;30;31;23;144;3;29;5;50;4;30;27;-3;3;26,23;3;2,882;4;21;0;5;0;1;0
49;4;03.05.2024;15;54;45;45;41;105;4;13;4;47;4;30;31;1;3;27,7;3;2,885;2;17;0;5;0;0;0
49;4;03.05.2024;15;54;45;45;41;155;4;6;4;30;2;31;30;-2;3;23,7;2;2,521;1;19;0;5;0;0;0
49;4;03.05.2024;15;54;45;45;41;31;4;21;5;50;4;34;27;7;3;35,8;3;3,17;3;11;0;5;0;0;0
38;4;04.05.2024;1;40;25;36;2;17;4;23;5;46;4;29;36;-18;2;30,93;3;2,961;2;19;0;5;0;0;0
39;3;06.05.2024;16;52;30;31;27;191;3;33;6;56;5;40;50;-4;3;19,91;2;2,781;2;22;0;5;0;0;0
39;3;06.05.2024;16;52;30;31;27;54;3;19;5;45;3;31;55;-5;3;24,49;2;2,767;2;27;1;5;0;0;0
14;8;03.05.2024;30;56;32;29;25;49;2;7;4;35;2;45;30;4;3;27,17;3;2,699;2;41;1;5;0;0;0
12;2;06.05.2024;9;38;44;48;14;114;2;13;4;43;3;32;43;3;3;31,14;3;2,905;2;29;1;5;0;0;0
12;2;06.05.2024;9;38;44;48;14;119;4;27;5;50;4;31;28;13;4;26,42;3;2,891;2;23;0;5;0;0;0
12;2;06.05.2024;9;38;44;48;14;59;4;15;4;45;3;29;45;-1;3;24,44;2;2,753;2;12;0;5;0;0;0
49;4;06.05.2024;15;54;45;45;44;17;4;23;5;46;4;29;36;-18;2;30,93;3;2,961;2;21;0;5;0;0;0
49;4;06.05.2024;15;54;45;45;44;103;4;8;4;45;3;28;53;-10;3;32,66;3;2,969;2;20;0;5;0;0;0
20;6;07.05.2024;14;47;32;29;14;202;2;24;5;54;4;29;32;3;3;23,45;2;2,848;2;13;0;5;0;0;0
20;6;07.05.2024;14;47;32;29;14;172;2;3;2;32;2;29;31;-3;3;32,4;3;2,828;2;12;0;5;0;0;0
20;6;07.05.2024;14;47;32;29;14;171;2;15;4;47;4;38;52;-9;3;25,11;3;2,804;2;30;1;5;0;0;0
20;6;10.05.2024;14;47;32;29;17;202;2;24;5;54;4;29;32;3;3;23,45;2;2,848;2;16;0;5;0;1;0
20;6;10.05.2024;14;47;32;29;17;172;2;3;2;32;2;29;31;-3;3;32,4;3;2,828;2;15;0;5;0;1;0
20;6;10.05.2024;14;47;32;29;17;171;2;15;4;47;4;38;52;-9;3;25,11;3;2,804;2;33;1;5;0;1;0
2;11;07.05.2024;23;46;36;29;22;119;4;27;5;50;4;31;28;13;4;26,42;3;2,891;2;24;0;5;0;0;0
2;11;07.05.2024;23;46;36;29;22;59;4;15;4;45;3;29;45;-1;3;24,44;2;2,753;2;13;0;5;0;0;0
12;2;08.05.2024;9;38;44;48;16;23;2;9;4;32;2;28;33;-2;3;23,18;2;2,549;1;27;1;5;0;1;0
12;2;08.05.2024;9;38;44;48;16;17;4;23;5;46;4;29;36;-18;2;30,93;3;2,961;2;23;0;5;0;1;0
12;2;08.05.2024;9;38;44;48;16;31;4;21;5;50;4;34;27;7;3;35,8;3;3,17;3;16;0;5;0;1;0
7;1;06.05.2024;15;52;30;45;43;119;4;27;5;50;4;31;28;13;4;26,42;3;2,891;2;23;0;5;0;0;0
7;1;06.05.2024;15;52;30;45;43;59;4;15;4;45;3;29;45;-1;3;24,44;2;2,753;2;12;0;5;0;0;0
15;5;10.05.2024;16;53;31;30;26;174;7;33;6;55;4;45;31;-23;2;34,02;3;3,168;3;2;0;5;0;1;0
38;4;10.05.2024;1;40;25;36;8;17;4;23;5;46;4;29;36;-18;2;30,93;3;2,961;2;25;0;5;0;1;0
15;5;11.05.2024;16;53;31;30;27;174;7;33;6;55;4;45;31;-23;2;34,02;3;3,168;3;3;0;5;0;0;0
15;5;11.05.2024;16;53;31;30;27;99;7;5;3;28;2;36;31;-13;2;27,68;3;2,605;2;2;0;5;0;0;0
2;11;12.05.2024;23;46;36;29;27;31;4;21;5;50;4;34;27;7;3;35,8;3;3,17;3;20;0;5;0;0;0
5;1;14.05.2024;8;53;28;35;33;135;2;17;5;53;4;32;56;-2;3;26,3;3;2,924;2;22;0;5;0;0;0
5;1;14.05.2024;8;53;28;35;33;167;4;24;5;46;4;34;33;7;3;30,86;3;2,961;2;3;0;5;0;0;0
5;1;14.05.2024;8;53;28;35;33;105;4;13;4;47;4;30;31;1;3;27,7;3;2,885;2;28;1;5;0;0;0
43;10;15.05.2024;33;55;50;40;16;106;3;30;5;48;4;30;31;-10;3;26,3;3;2,854;2;19;0;5;0;0;0
43;10;15.05.2024;33;55;50;40;16;91;3;17;5;38;3;29;45;-7;3;22,86;2;2,624;2;21;0;5;0;0;0
30;5;16.05.2024;16;52;29;41;2;87;7;23;5;56;5;24;37;-12;2;27,47;3;3,002;2;1;0;5;0;0;0
30;5;16.05.2024;16;52;29;41;2;210;7;34;6;55;4;28;28;-10;3;30,11;3;3,06;2;2;0;5;0;0;0
43;10;20.05.2024;33;55;50;40;36;91;3;17;5;38;3;29;45;-7;3;22,86;2;2,624;2;26;1;5;0;0;0
38;4;24.05.2024;1;40;25;36;8;164;4;15;4;39;3;24;41;-2;3;26,2;3;2,728;2;2;0;5;0;0;0
16;7;24.05.2024;8;43;31;32;13;167;4;24;5;46;4;34;33;7;3;30,86;3;2,961;2;13;0;5;0;0;0
16;7;24.05.2024;8;43;31;32;13;200;4;24;5;55;4;30;35;4;3;29,4;3;3,042;2;10;0;5;0;0;0
16;7;24.05.2024;8;43;31;32;13;52;1;21;5;42;3;35;26;-8;3;29,41;3;2,86;2;2;0;5;0;0;0
16;7;24.05.2024;8;43;31;32;13;164;4;15;4;39;3;24;41;-2;3;26,2;3;2,728;2;2;0;5;0;0;0
9;2;27.05.2024;3;31;31;30;3;151;2;8;4;33;2;39;31;0;3;20,45;2;2,464;1;12;0;5;0;0;0
6;2;26.05.2024;8;37;47;30;17;124;2;12;4;37;3;30;71;6;3;27,78;3;2,745;2;2;0;5;0;0;0
6;2;26.05.2024;8;37;47;30;17;97;2;3;2;27;2;36;31;0;3;21,45;2;2,393;1;16;0;5;0;0;0
6;2;26.05.2024;8;37;47;30;17;151;2;8;4;33;2;39;31;0;3;20,45;2;2,464;1;11;0;5;0;0;0
18;6;28.05.2024;1;38;31;30;4;39;2;24;5;45;3;36;31;-4;3;26,73;3;2,83;2;19;0;5;0;0;0
18;6;28.05.2024;1;38;31;30;4;81;2;23;5;45;3;30;30;-18;2;24,62;2;2,753;2;20;0;5;0;0;0
51;12;29.05.2024;34;55;28;28;15;174;7;33;6;55;4;45;31;-23;2;34,02;3;3,168;3;21;0;5;0;0;0
51;12;30.05.2024;34;55;28;28;16;32;7;5;3;26;2;32;29;-5;3;22,92;2;2,442;1;20;0;5;0;0;0
33;8;30.05.2024;20;39;63;29;4;97;2;3;2;27;2;36;31;0;3;21,45;2;2,393;1;20;0;5;0;0;0
33;8;30.05.2024;20;39;63;29;4;151;2;8;4;33;2;39;31;0;3;20,45;2;2,464;1;15;0;5;0;0;0
29;5;25.05.2024;4;40;27;54;33;134;5;29;5;57;5;28;33;-32;1;37,18;3;3,277;3;11;0;5;0;0;0
29;5;31.05.2024;4;40;27;54;33;43;5;15;4;52;4;45;61;5;3;24,76;2;2,851;2;38;1;5;0;0;0
12;2;01.06.2024;9;38;44;48;40;124;2;12;4;37;3;30;71;6;3;27,78;3;2,745;2;8;0;6;0;0;0
12;2;01.06.2024;9;38;44;48;40;170;2;20;5;38;3;29;63;-4;3;34,63;3;2,984;2;6;0;6;0;0;0
30;5;07.06.2024;16;52;29;41;24;126;7;21;5;41;3;45;41;-23;2;38,53;3;3,17;3;44;1;6;0;0;0
18;6;03.06.2024;1;38;31;30;11;39;2;24;5;45;3;36;31;-4;3;26,73;3;2,83;2;25;0;6;0;0;0
18;6;04.06.2024;1;38;31;30;12;81;2;23;5;45;3;30;30;-18;2;24,62;2;2,753;2;27;1;6;0;0;0
16;7;06.06.2024;8;43;31;35;23;88;5;8;4;56;5;45;31;-31;1;25,76;3;2,957;2;13;0;6;0;0;0
29;5;01.06.2024;4;40;27;54;33;148;5;13;4;52;4;45;47;-4;3;23,32;3;2,838;4;24;0;6;0;0;0
29;5;03.06.2024;4;40;27;54;33;88;5;8;4;56;5;45;31;-31;1;25,76;3;2,957;2;10;0;6;0;0;0
29;5;07.06.2024;4;40;27;54;33;134;5;29;5;57;5;28;33;-32;1;37,18;3;3,277;3;24;0;6;0;0;0
49;4;10.06.2024;15;54;45;45;44;167;4;24;5;46;4;34;33;7;3;30,86;3;2,961;2;30;1;6;0;0;0
49;4;10.06.2024;15;54;45;45;44;25;4;3;2;38;3;32;29;-6;3;25,86;3;2,7;2;27;1;6;0;0;0
49;4;10.06.2024;15;54;45;45;44;110;4;21;5;45;3;44;47;-2;3;29,41;3;2,888;2;2;0;6;0;0;0
51;12;10.06.2024;34;55;28;28;27;123;7;30;5;51;4;39;42;-9;3;25,66;3;2,878;2;6;0;6;0;0;0
17;2;10.06.2024;3;30;47;29;1;97;2;3;2;27;2;36;31;0;3;21,45;2;2,393;1;31;1;6;0;0;0
17;2;10.06.2024;3;30;47;29;1;23;2;9;4;32;2;32;29;-2;3;23,18;2;2,549;1;3;0;6;0;0;0
30;5;11.06.2024;16;52;29;41;27;123;7;30;5;51;4;39;42;-9;3;25,66;3;2,878;2;6;0;6;0;0;0
17;2;13.06.2024;3;30;47;29;4;130;2;4;3;30;2;32;29;-3;3;22,88;2;2,508;1;6;0;6;0;1;1
17;2;13.06.2024;3;30;47;29;4;97;2;3;2;27;2;36;31;0;3;21,45;2;2,393;1;34;1;6;0;1;1
9;2;18.06.2024;3;31;31;30;25;23;2;9;4;32;2;32;29;-2;3;23,18;2;2,549;1;11;0;6;0;0;0
9;2;20.06.2024;3;31;31;30;25;130;2;4;3;30;2;32;29;-3;3;22,88;2;2,508;1;13;0;6;0;0;0
33;8;23.06.2024;20;39;63;29;28;23;2;9;4;32;2;32;29;-2;3;23,18;2;2,549;1;16;0;6;0;0;0
33;8;23.06.2024;20;39;63;29;28;48;2;10;4;35;2;34;27;0;3;26,47;3;2,681;2;1;0;6;0;0;0
33;8;17.06.2024;20;39;29;31;22;23;2;9;4;32;2;32;29;-2;3;23,18;2;2,549;1;10;0;6;0;0;0
20;6;26.06.2024;14;47;32;29;3;66;2;30;5;56;5;44;32;-29;2;27,74;3;3,011;2;18;0;6;0;0;1
20;6;26.06.2024;14;47;32;29;3;186;2;13;4;40;3;29;53;11;4;29,67;3;2,841;2;11;0;6;0;0;1
20;6;25.06.2024;14;47;32;29;2;66;2;30;5;56;5;44;32;-29;2;27,74;3;3,011;2;17;0;6;0;0;1
20;6;25.06.2024;14;47;32;29;2;186;2;13;4;40;3;29;53;11;4;29,67;3;2,841;2;10;0;6;0;0;1
20;6;25.06.2024;14;47;32;29;2;202;2;24;5;54;4;29;32;3;3;23,45;2;2,848;2;1;0;6;0;0;1
15;5;29.06.2024;16;53;38;48;7;153;7;24;5;53;4;29;36;-17;2;27,77;3;2,969;2;14;0;6;0;0;0
15;5;29.06.2024;16;53;38;48;7;20;7;7;4;32;2;45;62;1;3;24,45;2;2,562;1;37;1;6;0;0;0
14;8;15.06.2024;30;56;32;44;7;137;2;17;5;40;3;47;40;-1;3;33,39;3;2,953;2;22;0;6;0;0;0
14;8;15.06.2024;30;56;32;44;7;56;2;5;3;27;2;45;60;-22;2;29,06;3;2,641;2;37;1;6;0;0;0
14;8;27.06.2024;30;56;32;44;19;186;2;13;4;40;3;29;53;11;4;29,67;3;2,841;2;12;0;6;0;0;0
14;8;27.06.2024;30;56;32;44;19;202;2;24;5;54;4;29;32;3;3;23,45;2;2,848;2;3;0;6;0;0;0
49;4;28.06.2024;15;54;32;29;20;194;4;22;5;48;4;20;77;-10;3;32,1;3;3,034;2;4;0;6;0;0;0
49;4;28.06.2024;15;54;32;29;20;78;4;8;4;31;2;47;31;-11;2;26,83;3;2,634;2;35;1;6;0;0;0
5;1;28.06.2024;8;53;30;40;13;48;2;10;4;35;2;34;27;0;3;26,47;3;2,681;2;6;0;6;0;0;0
15;5;02.07.2024;16;53;38;48;10;118;5;17;5;43;3;30;31;-32;1;26,8;3;2,788;2;21;0;7;0;0;0
36;9;02.07.2024;15;50;68;29;17;118;5;17;5;43;3;30;31;-32;1;26,8;3;2,788;2;21;0;7;0;0;0
47;5;18.06.2024;13;41;49;42;4;41;5;17;5;54;4;33;14;-3;3;32,24;3;3,109;3;10;0;6;0;0;0
36;9;18.06.2024;15;50;68;29;3;41;5;17;5;54;4;33;14;-3;3;32,24;3;3,109;3;10;0;6;0;0;0
47;5;25.06.2024;13;41;49;42;11;34;5;5;3;30;2;20;45;-28;2;28,41;3;2,665;2;1;0;6;0;0;0
36;9;25.06.2024;15;50;68;29;10;34;5;5;3;30;2;20;45;-28;2;28,41;3;2,665;2;1;0;6;0;0;0
36;9;01.07.2024;15;50;68;29;16;149;5;11;4;36;3;31;46;-13;2;25,28;3;2,659;2;23;0;7;0;0;0
39;3;27.06.2024;16;52;30;29;18;91;3;17;5;38;3;29;17;-7;3;22,86;2;2,624;2;18;0;6;0;0;0
39;3;27.06.2024;16;52;30;29;18;127;3;6;4;33;2;31;32;-5;3;23,54;2;2,554;1;18;0;6;0;0;0
47;5;30.06.2024;13;41;49;42;16;180;5;15;4;50;4;29;68;0;3;25,5;3;2,864;2;15;0;6;0;0;0
47;5;30.06.2024;13;41;49;42;16;88;5;8;4;56;5;45;31;-31;1;25,76;3;2,957;2;37;1;6;0;0;0
49;4;02.07.2024;15;54;32;29;24;194;4;22;5;48;4;20;77;-10;3;32,1;3;3,034;2;8;0;7;0;0;0
17;2;03.07.2024;3;30;47;29;24;157;2;8;4;33;2;29;62;-8;3;26,12;3;2,644;2;9;0;7;0;0;1
17;2;03.07.2024;3;30;47;29;24;42;2;2;2;23;1;26;30;-4;3;19,44;2;2,292;1;25;0;7;0;0;1
39;3;03.07.2024;16;52;30;29;24;44;3;23;5;43;3;32;90;3;3;23,2;2;2,671;2;11;0;7;0;0;0
49;4;03.07.2024;15;54;32;29;25;78;4;8;4;31;2;47;31;-11;2;26,83;3;2,634;2;40;1;7;0;0;0
14;8;06.07.2024;30;56;32;44;28;137;2;17;5;40;3;47;40;-1;3;33,39;3;2,953;2;43;1;7;0;0;0
14;8;06.07.2024;30;56;32;44;28;202;2;24;5;55;4;29;32;3;3;23,45;2;2,848;2;12;0;7;0;0;0
47;5;10.07.2024;13;41;49;42;26;118;5;17;5;43;3;30;31;-32;1;26,8;3;2,788;2;29;1;7;0;0;0
47;5;10.07.2024;13;41;49;42;26;41;5;17;5;54;4;33;14;-3;3;32,24;3;3,109;3;32;1;7;0;0;0
12;2;10.07.2024;9;38;28;33;3;165;4;25;5;45;3;38;44;-9;3;24,21;2;2,758;2;33;1;7;0;0;0
12;2;10.07.2024;9;38;28;33;3;194;4;22;5;48;4;20;77;-10;3;32,1;3;3,034;2;16;0;7;0;0;0
5;1;10.07.2024;8;53;30;40;25;53;4;6;4;39;3;29;32;-9;3;24,04;2;2,656;2;16;0;7;0;0;0
5;1;10.07.2024;8;53;30;40;25;16;2;5;3;28;2;30;47;-1;3;36,13;3;2,88;2;2;0;7;0;0;0
15;5;17.07.2024;16;53;38;48;18;95;7;17;5;39;3;28;27;-37;1;28,68;3;2,8;2;6;0;7;0;0;0
15;5;17.07.2024;16;53;38;48;18;45;7;26;5;46;4;30;22;-7;3;29,05;3;2,907;2;2;0;7;0;0;0
15;5;17.07.2024;16;53;38;48;18;99;7;5;3;28;2;39;31;-13;2;27,68;3;2,605;2;2;0;7;0;0;0
14;8;17.07.2024;30;56;32;44;39;104;2;3;2;23;1;31;79;-7;3;22,04;2;2,414;1;4;0;7;0;0;0
14;8;17.07.2024;30;56;32;44;39;171;2;15;4;47;4;43;60;-9;3;25,11;3;2,804;2;3;0;7;0;0;0
7;1;22.07.2024;15;52;38;38;37;17;4;23;5;46;4;36;56;-18;2;30,93;3;2,961;2;13;0;7;0;0;0
7;1;22.07.2024;15;52;38;38;37;31;4;21;5;50;4;30;31;7;3;35,8;3;3,17;3;26;1;7;0;0;0
7;1;22.07.2024;15;52;38;38;37;53;4;6;4;39;3;29;32;-9;3;24,04;2;2,656;2;28;1;7;0;0;0
7;1;22.07.2024;15;52;38;38;37;59;4;15;4;45;3;39;53;-1;3;24,44;2;2,753;2;7;0;7;0;0;0
6;2;22.07.2024;8;37;31;30;13;48;2;10;4;35;2;34;27;0;3;26,47;3;2,681;2;30;1;7;0;0;0
6;2;22.07.2024;8;37;31;30;13;140;2;2;2;23;1;34;49;4;3;26,23;3;2,504;1;11;0;7;0;0;0
6;2;21.07.2024;8;37;31;30;12;48;2;10;4;35;2;34;27;0;3;26,47;3;2,681;2;29;1;7;0;0;0
6;2;21.07.2024;8;37;31;30;12;143;2;6;4;28;2;34;63;6;3;27,7;3;2,619;2;10;0;7;0;0;0
6;2;20.07.2024;8;37;31;30;11;140;2;2;2;23;1;34;49;4;3;26,23;3;2,504;1;9;0;7;0;0;0
6;2;20.07.2024;8;37;31;30;11;198;3;11;4;49;4;28;33;-19;2;21,22;2;2,706;2;9;0;7;0;0;0
2;11;24.07.2024;23;46;56;36;15;93;4;18;5;44;3;30;31;-9;3;26,58;3;2,807;2;8;0;7;0;0;0
2;11;18.07.2024;23;46;56;36;9;25;4;3;2;38;3;36;25;-6;3;25,86;3;2,7;2;8;0;7;0;0;0
16;7;26.07.2024;8;43;35;32;3;131;4;34;6;54;4;45;62;3;3;30,86;3;3,073;2;33;1;7;0;0;0
10;2;22.07.2024;1;33;29;32;30;107;2;3;2;27;2;32;66;2;3;22,92;2;2,456;1;20;0;7;0;0;0
10;2;23.07.2024;1;33;29;32;31;107;2;3;2;27;2;32;66;2;3;22,92;2;2,456;1;21;0;7;0;0;0
43;10;25.07.2024;33;55;59;33;3;106;3;30;5;48;4;50;42;-10;3;26,3;3;2,854;2;18;0;7;0;0;0
12;2;26.07.2024;9;38;28;33;19;113;5;9;4;42;3;32;29;3;3;22,72;2;2,671;2;16;0;7;0;0;1
12;2;26.07.2024;9;38;28;33;19;27;5;7;4;38;3;48;71;-31;1;24,2;2;2,669;2;2;0;7;0;0;1
33;8;27.07.2024;20;39;32;29;1;140;2;2;2;23;1;34;49;4;3;26,23;3;2,504;1;16;0;7;0;0;0
33;8;27.07.2024;20;39;32;29;1;124;2;12;4;37;3;46;31;6;3;27,78;3;2,745;2;3;0;7;0;0;0
9;2;27.07.2024;3;31;31;30;3;124;2;12;4;37;3;46;31;6;3;27,78;3;2,745;2;3;0;7;0;0;0
15;5;27.07.2024;16;53;38;48;35;95;7;17;5;39;3;28;27;-37;1;28,68;3;2,8;2;16;0;7;0;0;0
15;5;27.07.2024;16;53;38;48;35;32;7;5;3;26;2;30;29;-5;3;22,92;2;2,442;1;17;0;7;0;0;0
15;5;27.07.2024;16;53;38;48;35;28;7;5;3;27;2;45;59;-5;3;28,08;3;2,614;2;18;0;7;0;0;0
42;3;25.07.2024;4;34;44;28;35;191;3;33;6;56;5;33;59;-4;3;19,91;2;2,781;2;3;0;7;0;0;0
42;3;25.07.2024;4;34;44;28;35;106;3;30;5;48;4;50;42;-10;3;26,3;3;2,854;2;18;0;7;0;0;0
42;3;16.07.2024;4;34;44;28;35;44;3;23;5;43;3;32;90;3;3;23,2;2;2,671;2;24;0;7;0;0;0
42;3;16.07.2024;4;34;44;28;35;91;3;17;5;38;3;29;32;-7;3;22,86;2;2,624;2;22;0;7;0;0;0
38;4;19.07.2024;1;40;31;30;11;155;4;6;4;31;2;32;60;-2;3;23,7;2;2,521;1;5;0;7;0;0;0
18;6;29.07.2024;1;38;31;30;5;39;2;24;5;45;3;46;40;-4;3;26,73;3;2,83;2;5;0;7;0;0;0
