Nomer;Massage
23403;Неудовлетворительное санитарное состояние мастерской КИПиА
23404;Затруднен подход к площадкам обслуживания и входным группам б/б насосной метанола, ТКПГ, ЗППА, ПРМ, ТКДиМ (УРМ)
23405;Занесена снегом площадка обслуживания ПОРДиМ, пусковые устройства освещения и АВВ
23406;Недостаточное освещения в отсеке двигателя Т/А №111.
23407;Занесены снегом пути передвижения по территории УППГ-3В
23408;Подтеки масла под Н-10А(1)
23409;ЦРД Н-4/1 низкий уровень масла на охлаждение в маслобаке
23410;ПОРД №5 сломана ручка двери на входе в арматурный блок
23411;В весовой комнате здания ИТЦ-1 провис потолочный плинтус, угроза падения на работников лаборатории.
23412;Отсутствует пломба на фланцевом соединении клапана-регулятора К1А3 (пром стоки ГФУ).
23413;Обледенение под заносом снега площадки перед входом в УЗГ. Риск оступиться и получить травму.
23414;Заметен аварийый выход из галереи ППА. При аварийной ситуации нет возможности экстренно покинуть ППА.
23415;"Эвакуационный выход №4 (2 этаж, правое крыло) административного здания «Вахта-80» ВЗИС СРТ находится в неудовлетворительном состоянии (площадка занесена снегом на 0,20-0,25 м; дверь эвакуационного выхода открывается частично)."
23416;"В санитарно-бытовом помещении административного здания «Вахта-80» ВЗИС СРТ (1 этаж; мужской санитарный узел) выявлено отсутствие смывающих средств (мыло твердое);  в наличии смывающее средство иного типа (мыло жидкое)."
23417;ГПУ № 213 посторонние предметы после ремонта шахты выхлопа.
23418;"1 Недостаточное освещение аварийного выхода на пульту БППП 2 Повреждена нумерация ЗРА в Техкорпусе 2 эт С.1-1
( Д1.1.1 ; КО 7.1 ; П106.1)"
23419;Нет инф. таблички П1.5 Порм
23420;Возле мастерской УТОБТДА в контейнер с металоломом замело снегом
23421;Поврежден знак безопасности на входе в ГПА№911.
23422;Снег перед входом на площадку ПТПГ-№30-1.2
23423;Около здания ИТЦ-1 повреждена подводящая магистральная труба отопления (теплотрасса). От трубопровода поднимается интенсивный пар, идут большие теплопотери.
23424;Занесена снегом подходу к ГПА КЦ №1.
23425;Неисправен светодиодный светильник (1 ед.) в пом. 5 пождепо на 4 автомашины.
23426;При прохождении КПП в посёлке Новозаполярный людям приходится идти в непосредственной близости от движущегося автотранспорта. Автотранспорт, останавливаясь у знака STOP, создаёт на дороге скользкие места. Люди проходя мимо КПП и показывая вахтовые удостоверения сотрудникам СКЗ, могут ослабить внимание и поскользнувшись попасть под автотранспорт.  Также возможен занос автотранспорта с наездом на пешехода. Необходимо развести потоки людей и автотранспорта. Или осуществить заезд автотранспорта через другие подъездные пути.
23427;поз.3  на пожарном извещателе выцвела  кабельная бирка
23428;"поз.3 пришла в негодность бирка ""датчик задействован в СПАЗ"" на преобразователе давления 20Т-1/1"
23429;На входной двери главного входа в АБК неисправен доводчик (работает с усилием на закрытие). 
23430;Занесен снегом ПГ-1
23431;ЦРМ. Недостаточное освещение ВХ-2а/1,2 
23432;Лестница ТКРДиМ со стороны АВо-газа занесена снегом. 
23433;Доводчик двери арматурного блока ПОРМ не исправен со стороны УОК.
23434;На выходе ЦПГ со стороны АВО заметен проход.
23435;УОГ. Не читаема надпись направления вращения штурвала на ЗРА №7- С1/2.
23436;ЦПГр, нарушение целостности ЛКП ЗРА Д-203/р3, Дв-1ар, К-206ар/2, Г-221ар/1, С-218р/1.
23437;ЦПГр, не работают светильники: №94, 120, 239,213, 219, 32.
23438;Снег на путях передвижения. Осложнение при передвижении по территоррии промысла.
23439;Выявлено загромождение эвакуационного выхода со второго этажа технологического корпуса АР-02.
23440;Негерметичность сальникового уплотнения вентиля радиатора отопления в ПОРМ
23441;"Несоответствие тех.регламенту уставок ""мин""/""макс"" ЭКМ по давлению охл.жидкости Н-4Б/2"
23442;Оторвана с информационного щитка схема включения А-1/9 ТКПГ 
23443;Утечка воздуха КИП на тройнике подлкючения манометра (давление воздуха КИП) УОГ
23444;"ГТЭС-24. ТМБ. В помещении ""Баков масла"" не исправна лампа освещения."
23445;Наледь на площадках обслуживания ГПА №611.
23446;Посторонние предметы возле ГПА №626.
23447;Занесены снегом входы в УОГ.
23448;Занесены снегом подходы к БПТГ , БСПУ и к рессиверам импульсного газа.
23449;Посторонние предметы на БЕ-4 в УЗСП.
23450;Не очищены от снега подходы к ресирверам Воздуха и азота.
23451;Заблокирован  выход с Цеха Подготовке Газа ( образование наледи на дверном проеме).
23452;"Розлив воды на полу возле дренажного насоса
СВО ГПА№ 914. "
23453;"Отсутствует табличка ""выход"" на двери отсека двигателя Т/А№126."
23454;ГТЭС-24. Каб.112. (ПЭТЛ). Обнаружена неисправность электрического чайника.
23455;Венткамера ТКРДиМ 1эт-жалюзи в инее
23456;Занесен снегом вход в БППП УППГ-3В
23457;ТКРДиМ Н-5А/1 пропуск воды по сальникову уплотнею
23458;Перегорела лампа освещения в мастерской КИПиА УППГ-3В
23459;"Лестница КПП ДКС пришла в негодность указывающая табличка ""держись за поручень"".  "
23460;п. 324 слесарная мастерская. Сломан фиксатор крепления ручки скребка для уборки снега.
23461;ПГ-10. После прохода снегоуборочной техники затруднён подход к ПГ. 
23462;п.324 Сломан крепёж бирки с отметками даты осмотра огнетушителя 321/1.
23463;Отсутствует стрелка-указатель положения уровня клапана-регулятора ПОУ-12 по ДЭГу в ЦПГ ТН№ 1,9.
23464;"Заметён снегом знак безопасности 3.13 ""Ограничение высоты"" с доп. ""Водитель опусти кузов"" на углу Цеха регенерации ДЭГа и метанола (п.4.4.3 СТО ""Газпром добыча Ямбург"" 3.1-373-2020)."
23465;Нарушено крепление короба укладки кабеля управления клапаном КПУ-Н.
23466;Харвутинский купол. УКЗ №13. Обрыв вязок ВЛ ЭХЗ (опора №3, 6)
23467;Занесены снегом подходы к ГПА№911.
23468;Харвутинский купол. УКЗ №10. Обрыв вязок ВЛ ЭХЗ и переплет проводов (пролет ПС4-ПС5)
23469;ПК172 УКЗ. Отсутствует наружное освещение, наледь на лестничном пролете.
23470;УМС. Западает кнопка вкл/выкл калорифера.
23471;Цех УТОБТДА. Посторонние предметы в ТП.
23472;719куст. Обход станций. СКЗ№2. Нарушение целостности изоляции провода розетки. 
23473;Курилка АБК. ВПодходные пути и вход в курилку заметен снегом, доступ ограничен.
23474;На розетке отсутствует маркировка напряжения сети. Поз. 34
23475;На поз. 19 оцинкованное покрытие трубопровода имеет острые края.
23476;УОГ свисание снега на козырьке пожарного выхода
23477;ГСМ блок-бокс мерных емкостей: частично отсутствует освещение.
23478;ГТЭС-22,5: операторная, истекает срок испытания  диэлектрических перчаток №44 и электроизмерительные клещи №4900. 
23479;Снег перед входом на площадку ПТПГ-30-3.4
23480;Заснеженность путей передвижения и лестниц возле входа на ЗПА, подходов и площадок обслуживания П-601
23481;Е8б Неисправная изоляция на входном трубопроводе
23482;Металлолом в рабочей камере
23483;Склад УМС. Разбитый плафон на стеллаже, осоколки стекла на полке.
23484;Склад КИПиА. Отсутствует освещение на входе.
23485;УКПГ-3. СКЗ Д3/4. Обрыв поводка заземления станции №4.
23486;Занесена снегом подходу к ГПА КЦ №2
23487;Модуль №4 помещение приточной вентиляции углекислотный огнетушитель (ОУ-10) не зафиксирован, вероятность падения.
23488;"ОВК 2 этаж поврежден знак ""Звукового оповещения пожарной сигнализации"""
23489;В здании УМВ, в помещении возвратной тары и первичной мойки бутылей над рабочем местом машинистов НУ перегорел светильник.
23490;"1. Вход в техкорпус посторонние предметы по маршруту обхода 2. В насосной метанола загрязнение поверхности пола у Н-2/1,2.
 3.Техкорпус 2эт неактуальные схемы на сепараторах С-1/1,2 ;С-2/1,2 ; С3/1,4.
 4,Техкорпус 2эт нет нумерации ЗРА ,повреждено обозначение нумерации ."
23491;В ЦПГ на БТДА 1/3 затерлось обозначение (открытие-закрытие) ЗКС на байпасной линии.
23492;Тепломеханический блок. Команата приема пищи. Течет смеситель.
23493;Территория ГТЭС-15. Не расчищен от  снега подход к ПГ №2.
23494;Проотборник по уносу ДЭГа- неисправен манометр
23495;ТКПГ БТДА№3-плохо огорождено место проведения работ
23496;В комплекте инструмента насосной станции хозяйственно-питьевого, производственного и противопожарного водоснабжения ГП-1С зубило имеет скол рабочей поверхности
23497;Штыковая лопата, размещенная на насосной станции хозяйственно-питьевого, производственного и противопожарного водоснабжения ГП-1С имеет искривление рабочей части
23498;поз. 2 необходимо выполнить антигололёдные мероприятия  перед входами в цех
23499;Засыпан снегом извещатель пожарный ручной и подход к нему, расположенный у АВО СОГ (Несоответствие п.9 ст.83 123-ФЗ).
23500;Нет освещения на гидрантах №21,22,23,
23501;ЦРМ. Розлив ЛВЖ возле Н 2А/1.
23502;Отсутсвие шланга на огнетушителе в тепловом пункте здания ПЭБ.
23503;Подтёки смазочного материала у насоса Н1М.
23504;Посторонние предметы в венткамере БПТПИГ.
23505;Нет света в блоке маслоохладителей нагнетателя ГПА №623.
23506;Нет освещения в тамбуре аварийного выхода УОГ.
23507;Занесены снегом подходы к узлу подключения ДКС.
23508;Поз.10 (Парк расходных емкостей) - Отсутвие бирки с номером на ЗРА, на линии дренажа емкости 40Е-1/1.
23509;Поз.4  Занесено снегом место заправки пожарной техники.
23510;Поз.4 (Цех первичной сепарации) Наледь на ступенях  маршевых лестниц.
23511;"Насосная метанола (Поз.12). На маршевой лестнице пришел в негодность информационный знак ЗЗ-211 ""Двигаясь по лестнице держись за перила"""
23512;Поз.29 (Площадка дегазатора 40ДР-1 и теплообменника).Площадка обслуживания занесена снегом.
23513;Занесен снегом входа(выхода) УРДиМ.
23514;Наличие наледи на ступеньках на в ходе в укрытие ГПА.
23515;Заметён снегом вход в УПТИГ КЦ-2
23516;Сломалась ручка двери в тамбур шлюзе.
23517;При входе в Административный центр корпуса Г образовалась наледь, что способствует риску возниконовения падения работников.
23518;В мастерской УТОБТДА на воротах для въезда техники сломалась личинка замка
23519;После сварочных работ на полу расбросаны окалины по всему сварочному участку
23520;Заметены снегом эвакуационные выходы здания АБК п.9.18.
23521;В связи с обильными снежными осадками заметены снегом все аварийные выходы здания АБК МРУ, а также остановка для ТС (посадки/высадки работников МРУ).
23522;В мужском туалете здания АБК МРУ закончилось средство личной гигиены для мытья рук.
23523;Занесен снегом подход к стойкам управления ПГ-1,1/2
23524;Посторонние предметы на площадке обслуживания ЗРА 20C-3
23525;На табличке СРД 10Р-1/2 отсутствует информация об истечении срока службы.
23526;Присутствует загрязненность на поверхности оборудования (пыль на насосе Н-1М) 
23527;"Площадь,  расположенная в поселке Ямбург, между автовокзалом и магазином ""Нико"", на которой организована стоянка автобусов а также осуществляется посадка и высадка пассажиров в зимнее время, не посыпается песком. Что может привести к падению человека и получению травм."
23528;Недостаточная освещенность тамбур насосная метанола.
23529;На дверях электрощитовой КОС ГП-5 сломался замок (невозможно открыть) ПОТЭЭ п. 3.12
23530;Промасленная ветошь  в ящике чистой ветоши УЗГ.
23531;ГПА № 225 ЗАТПГ: отсутствует освещение.
23532;Нарушено (оторвано) заземление прибора КИП в ППА. Датчик температуры ТСПУ.
23533;На козырьке на входе в ТП-7 снеговая шапка. Риск срыва и травмирования персонала.
23534;Наледь на лестнице на выходе из БППП.
23535;ЦРД неисправен доводчик на входе в цех
23536;ЦРД арматурный блок К1.1 (1 модуль) недостаточное освещение
23537;Подходы к АВО газа засыпаны снегом.
23538;Доводчик двери в ЦДМ неисправен.
23539;Проход к УОК занесен снегом.
23540;Посторонний предмет ( лопата) в пункте редуцирования метанола на ППА.
23541;"На трапе площадки обслуживания кранов 22МК-21 и 22МК-22 ( УП№1)
оторвалась предупредительная табличка ДЕРЖИСЬ ЗА ПОРУЧНИ."
23542;Отсутствуют таблички с номерами ступеней по температуре на ТСМ-012 ВК-2.
23543;Свисание наледи и снега с крыши на выходе из ЦДМ.
23544;Скопление снега на лестницах  в слесарную мастерскую и холодный склад здание БВП.
23545;Нечитаемое обозначение ЗРА № 7 Абсорбера 1.6.
23546;"АГРС ""Промбаза"". Отсутствует красная стрелка на манометре"
23547;УКПГ 3В. СКЗ №4. Ослаблено заземление. Дефект корпуса розетки.
23548;РММ. Слесарная мастерская. После обслуживания техники на полу у выхода масляные пятна. Посторонние предметы возле тесков.  
23549;УМС (холодный склад). Сильное обледенение пола при входе в главные ворота, риск падения человека.  
23550;Вход в склад электромонтёров занесен снегом, доступ ограничен.
23551;Поз 5.1 насосное отделение посторонние предметы на площадке обслуживания 30Н6/2
23552;Поз.134. На лестницах отсутствуют знаки безопасности.
23553;Поз 9 не читаемая бирка на входе в цех ВА-1,ВА-2.
23554;Поз 9 занесен снегом аварийный выход из цеха.
23555;Поз.134.Занесен снегом проход к шкафу с огнетушителями.
23556;Поз.313. Не опломбирован пожарный шкаф ПК11.
23557;Поз9. нет обозначения на клемной коробки пожарной сигнализации.
23558;Поз.351. Не измельчен песок в пожарном ящике.
23559;Подходы к АВО газа КЦ №1 засыпаны снегом. 
23560;Занесены снегом основные и запасные выходы с ПЭБА.
23561;Посторонние предметы на площадке двигателя ГПА №725
23562;"На подъездной автодороге к крановому узлу №4 Конденсатопровода УКПГ-2В-ПХЗК поврежден запрещающий знак ""Работы по наряду-допуску"" "
23563;Занесен снегом переходный мостик в УОГ.
23564;Свисание наледи с крыши техкорпуса
23565;поз.4  на расходомерах по конденсату (10Р1/1, 10Р1/5, 10Р1/7) по два штампа о поверке 
23566;поз.4 отлетела информационная табличка на прибор ( датчик разлива 16-Г)
23567;Посторонние предметы на площадке обслуживания емкостей Е-7/1,2.
23568;Заметен снегом подход к поз.7
23569;Отсутствует освещение в тамбур-шлюзе поз.4
23570;Отклеилась табличка с Ф.И.О. ответственных за пож.безопаснсость на входной двери поз.301 ЗПА ДКС
23571;Отклеилась сигнальная лента перепада высота на пандусе поз.40 
23572;Отпала технологическая схема поз.5
23573;Не очищены козырьки над входными площадками в емкостное и насосное отделение поз.5
23574;Заметено снегом внутри поз.13
23575;"Отсутствует знак ""Водитель ! Опусти кузов!"" на эстакаде перед поз.301 ЗПА ДКС."
23576;Не закрыть лючок после проведения толщинометрии сепаратора в поз.4
23577;Не закрыта крышка блока управления клапана-регулятора КР-1Б в ТКДиМ.
23578;Наледь на ступенях маршевой лестницы поз.14
23579;При плановом осмотре инструмента, обнаружен гаечный ключ с выработкой выше допустимых значений.
23580;ТКПГ А1/8 пропуск по штуцерному соединению на АИР-20ТД
23581;При обходе выявлен посторонний шум вентилятора В-2 поз.20 
23582;"Нечитаемая надпись следующего НВО АВО-15/1 поз.303.
Деформация текста под воздействием климатических условий, недостаточная адгезия материала "
23583;б/б насосной метанола-забита дренажная трубка(развоздушивания) Н3/2
23584;"Повреждена этикетка ""Опечатано"" ПК-5 поз.33 "
23585;Ослаблено крепление вентилятора В-4  поз.41 к раме в результате воздействия вибрационных нагрузок
23586;ТКРДиМ линия подачи метанола в Е-4А З,Р,А№16-затрудненно крутится штурвал
23587;ПОРДиМ П1/1,3 печное отделение- недостаточно освещенности
23588;Занесены площадки обслуживания оборудования на крановом узле КЦ-1
23589;Обледенение подхода к маршевой лестнице БППП.
23590;Манометр (давление жидкости на орошение С-1/2, С-1/12) установлен с отклонением шкалы по вертикали назад
23591;Наличие посторонних предметов, материалов в помещении БОА ГПА №-912.
23592;Обнаружены посторонние предметы у шлейфа 310В входной нитки АР=01 (чемодан с инструментом).
23593;Недостаточное освещение в ОМА ГПА №611.
23594;Недостаточное освещение на УП ДКС.
23595;Занесены снегом площадки обслуживания УП КЦ-2 ДКС.
23596;Неисправна лампа освещения (ЦРД район Н:6/1)
23597;Занесён снегом центральный вход ЦРД
23598;На входной двери в компрессорную не закреплена табличка «посторонним вход воспрещен».
23599;Занесен снегом вход в АСППТ
23600;Малозаметный, торчащий конструктивный элемент на полу ТКПГ возле арматурного блока А-1/6 (риск травматизма персонала).
23601;"Отсутствует надпись направления вращения ""открыто-закрыто"" на запорной арматуре в АР-02 (Ф421)"
23602;Не исправен доводчик двери ОМА ГПА №715
23603;На выходе с ЦПГ со стороны АВО,обледенел порог.
23604;ДКС2/1 АВОг секция №9: открыты лючки для диагностики отводов.
23605;поз.4 П-3 на манометре сместилась красная стрелка
23606;Отстегнут доводчик двери в ПОРМ (вход в топочное помещение П-1А/2).
23607;КГС 404(4) скважина выпирание свайного основания
23608;КГС 411(6) скважина нет свободного доступа к З,Р,А на задавочной линии
23609;ТКПГ А1/3- ослаблен соеденительный хомут на дренажной линии( отбор прод Уноса ДЭГа)
23610;РММ. Бокс ТО 2. Разлив моторного масла возле маслораздаточной колонки
23611;РММ. Бокс То 2. 2 смотровая грузовая яма. Не работает второй подъемник
23612;Комрессорная пропуск воздуха по штоку клапана КР-1В
23613;"РММ. Бокс То 2. Выцветшие таблички информирования "" Пожарная сирена""."
23614;ПОРД наледь на козырьках
23615;"РММ. Бокс То 2.  Недостаточное освещение в смотровой яме №2.
"
23616;РММ. Бокс То 2. Противопожарный ящик с песком заставлен хоз.инвентарем. Затруднен подход.
23617;РММ. Бокс То 2. Промасленная ветошь в контейнере для металлолома.
23618;РММ. Бокс То 2. Течь масла с пресса Р338 из-за трещины в трубке подачи масла
23619;РММ. Бокс То 2. Не открываются въездные ворота №1
23620;РММ. Бокс То 2. Загроможден подход к ПК-3
23621;РММ. Бокс То 2. Разлив технических жидкостей в зоне обслуживания легковых автомобилей
23622;РММ. Бокс То 2. Отсутствуют плафоны освщения канав для обслуживания грузовых автомобилей №1
23623;РММ. Бокс То 2. Заполнена емкость для отработанных масляных и топливных фильтров.
23624;РММ. Бокс То 2. Заполнена емкость для хранения промасленной ветоши
23625;РММ. Бокс То 2. наканавный эл.мех.подъемник рег.№037 - короткое замыкание в пульте управления
23626;РММ. Бокс То 2. Лед на полах смотровых канав №1, 2 из-за забитых сливных отверстий
23627;РММ. Бокс То 2. Маслосклад. Не горит 1 лампа освещения.
23628;РММ. Бокс То 2. Неисправность наканавного подъемника СУ-2 рег.№092
23629;РММ. Бокс То 2. Подъемный механизм П 238 рег.№107: неисправность пускания
23630;РММ. Бокс То 2. Въездные ворота №4. На въезде на пандус провал из-за повреждения металлического листа между бетонными плитами
23631;РММ. Бокс То 2. Подъемный механизм П238 рег. №107: заканчивается ресурс шайбы (несущей гайки). Требуется включение в список ремонтных работ на ближайшее техническое обслуживание
23632;РММ. Бокс То 2. Гололед на въезде в бокс через ворота 1,4
23633;РММ. Бокс То 2. По требованию  Воробьева А.А. Отсутсвует штапик на стекле стеклопакета № 19,11 со стороны улицы (верхний ряд)
23634;РММ. Бокс То 2. Уплотнитель въездных ворот №4 - механический износ
23635;РММ. Бокс То 2. Неисправность механизма разблокировки подъемника №144
23636;РММ. Бокс То 2. Запись по требованию  Воробьева А.А. Мутные стекла (царапины) на защитных очках в ящике СИЗ заточного станка.Мутное защитное стекло
23637;РММ. Бокс То 2. Течь масла с редуктора кран-балки рег.№001. Замечание по требовани. Воробьева А.А.
23638;РММ. Бокс То 2. Неисправность шиберной заслонки воздуховода механизма тепловой завесы ворот №4. Запись по требованию Воробьева А.А.
23639;РММ. Бокс То 2. Недостаточное давление в воздушной магистрали. Требуется провести обслуживание компрессора
23640;РММ. Бокс То 2. Вибрация заточных дисков на заточном станке 
23641;РММ. Бокс То 2. Обрыв питающего кабеля грузового подъемника канавы №1
23642;РММ. Бокс То 2. Загроможден козелками подход к ПК-3
23643;РММ. Бокс То 2.  Гололед на въезде в бокс через ворота №1,4.
23644;РММ. Бокс То 2. Заполнен контейнер для металлолома
23645;РММ. Бокс То 2. Повреждена изоляция переноски №23
23646;РММ. Бокс То 2. Не расчищены пути передвижения между боксом ТО 2 и маслоскладом
23647;РММ. Бокс То 2. Не расчищен аварийный выход со 2 этажа бокса
23648;РММ. Бокс То 2. Заполнена емкость для отработанных фильтров
23649;РММ. Бокс То 2. Обрыв питающего кабеля наканавного поъмника 2 канавы
23650;Отсутствует красный указатель рабочего давления на манометре на арматурном блоке печи П-301
23651;Отсутствует бирка на датчике перепада давления на Ф-701.2
23652;"50РП-6; ЗРУ-6кВ, главный выход, не работает указательный светильник (выход)."
23653;Здание теплой стоянки для спецтехники (поз.27.2) базы геофизиков на промбазе ЗНГКМ - образование сосулек на козырьках входов в здание.
23654;Сломана ручка на входной двери №1 ангара ГПА№914
23655;Занесены снегом привода кранов  УП КЦ-2 ДКС. 
23656;Техкорпус АР-01 подтеки смазочного материала на приводе Г-101.21
23657;Наледь на лестничной площадке входа в ЦРМ от компрессорной.
23658;"Отсутствует табличка ""держись за поручни"" на входе на лестницу на Т/А №123."
23659;ЦРД. Не достаточное освещение площадки обслуживания уравнемерных колонок К1/2.
23660;Заграможден эвакуционный проход в РД ДКС.
23661;УЗПП, загрязнение под емкостью Е-4.
23662;ЦРМ, отсутствуют обозначения ЗРА на линии промстоков к ГФУ.
23663;Занесены снегом подходы к ГПА-912.
23664;Перегорела лампа освещения на втором этаже технологичнского корпуса АР-02.
23665;Заметена лестница, аварийного выхода из БППП.
23666;Наледь на площадках обслуживания ГПА №621.
23667;Занесены снегом площадки обслуживания кранов № 74,75,76.
23668;Наледь на входе БПТГ КЦ-1.
23669;ЗПА, не соответствие показаний технического манометра шлейфа №6. 
23670;ЗПА, сорваны петли крышки пожарного ящика №26.
23671;Отсутствует пломба на фланцевом соединении, ЦРМ линия выхода с Р-1а
23672;Затруднён  подход к площадке входа в ЦРД со стороны Е-8а
23673;Занесены снегом пути передвижения по маршруту обхода 
23674;Подтеки масла под Н-10 А(1,2)
23675;ТКПГ пропарочная линия  со стороны штуцера для  ППУ- отсутствует обозначение
23676;ТКРДиМ ящик с хоз.песком(возле Н№16) недостаточно
23677;Поз.84а ресиверы азота, нарушено сварное соединение перильного ограждения переходного мостика.  
23678;Не работает светильник аварийного освещения на входе в помещение насосной промстоков поз.44
23679;Не убраны снежные шапки на щитах освещения ЩО 01-10, ЩО 01-28.
23680;Отсутствует антигололедное покрытие перед лестницей в ПЭБ
23681;Елец, ПК-172, ВЛ ЭХЗ. Большой провис провода между П-6, П-7. Возможен обрыв при сильном порыве ветра.
23682;ПК-95, ВЛ ЭХЗ. У20 - П22. Обрыв провода ВЛ. 
23683;Подход к складу хранения огнетушителей заметен снегом, доступ ограничен.
23684;После чистки снега территории спецтехникой, подходные пути к АБК имеют скользкую поверхность. Риск падения человека. Требуется нанесение антигололедного покрытия.
23685;Отсутствует обозначение вольтажа над одной из розеток в кабинете КИПиА.
23686;Посторонние предметы на стойке КИП в УПТ П-3.
23687;поз.71 слесарная мастерская КИП при осмотре слесарного инструмента обнаружено на ножовке по дереву скол на рукоятке
23688;Образовалась наледь на пути передвижения по территории УППГ. Риск падения и травмирования персонала.
23689;"Заметен подход к площадке обслуживания кранов 103;203 и 104; 204."
23690;"Недостаточное освещение в комнате приготовления раствора
в ПЭБе."
23691;"АВО газа 18/1 ""залипает""пускатель"
23692;ТКРДиМ ВХ-2А-посторонние предметы
23693;Занесена снегом переходная галерея в УОГ.
23694;Подходы к зданию УМВ и маршевые лестницы заметены снегом. 
23695;Не достаточное освещение в мастерской КИП ДКС
23696;Недостаточное освещение в ОМА на Т/А №111.
23697;Загрязнена табличка С-410.
23698;Занесена снегом площадка обслуживания Е-8А.
23699;Занесены снегом краны управления БПГ-№2 КЦ-2
23700;Наледь на площадках обслуживания АВО газа КЦ-1.
23701;Занесены снегом подходы к площадкам обслуживания АВО газа КЦ-1.
23702;Нет освещения над входом в МКЦ-1.
23703;Посторонние предметы в технологическом корпусе АР-01 с торца здания. (банки с ЛВЖ)
23704;Заметён аварийный вызод из арматурного блока печей.
23705;Занесены снегом подходы к ГПА№913.
23706;Отсутствует антигололедная обработка подходов к лестницам УОГ.
23707;Поврежден шланг ОП-8 № 29, ЦРД
23708;На путях передвижения, от ценрального входа ЦРД до котельной, местами образовалась наледь. Присутствует вероятность падения работников.
23709;Посторонние предметы по маршруту обхода (ведро, лопата)
23710;Наледь на путях передвижения по маршруту обхода 
23711;"Нарушена эвакуационная табличка ""Выход"" из БПТПИГ первой очереди."
23712;Поломана тяга доводчика двери в УТИГ
23713;Один из эксплуатирующих газоанализаторов СЕАН-Н полностью разряжен 
23714;Агрегатный цех УМС. Вход засыпан снегом, доступ ограничен.
23715;Агрегатный цех УМС. После распаковки новых станций, скопился мусор.
23716;ПОРДиМ арматурный блок- В2(вытяжной вентилятор)- не включается
23717;ТКПГ возле А1/4 смотровой люк в блок-пантон не дозакрывается
23718;"БППП - перегорела лампа в обозначении ""ВЫХОД"""
23719;Территория ГП, ПГ№9 - плохо открвается дверь  из-за отвалов снега, после бульдозера
23720;Наледь на ступенях трапа СВО на ГПА№916.
23721;Посторонние предметы в узле связи БППП после ремонтных работ.
23722;В мастерской УТОБТДА в сборочном участке разбросан ручной инструмент
23723;Ослабло крепление защитного заземления датчика температуры установленного на ТДА №3 здание ТДА УОГ.
23724;Поврежден заземляющий проводник датчика температуры буферного газа на ГПУ-113
23725;Образовалась наледь на просечке у гаражных ворот  здание БВП.
23726;ПЭБ ДКС вход в венткамеру облединение ступенек лестницы.
23727;Отсутсвует бирка на термометре на всасе Н-701
23728;Обледенение ступеней лестницы выхода ЦРД
23729;Сломана крышка КИП на скв.№3 КГС №3 УКПГ-2В
23730;Неисправно запорное устройство на блок-боксе ЭХЗ КГС №6 УКПГ-2С
23731;Заметена снегом площадка обслуживания БЭКС на КГС №333 УКПГ-3С
23732;"Отсутствует табличка ""от себя"" на двери выхода с УПТГ-2оч."
23733;Повышенный нагрев розетки 220 в.в слесарной мастерской операторов по добыче газа.
23734;Не фиксируется в закрытом состоянии дверца щита освещения ЩО-1 в БВП.
23735;Отсутствует табличка с номером крана 2 на ГПА 725
23736;Наледь на ступенях и лестничной площадки электромастерской.
23737;поз.31 на датчике температуры не закручена до упора крышка
23738;поз.2 аппаратная на датчике температуры заземляющий проводок ослаблен
23739;Розлив  ЛВЖ возле Н2А/1. ЦРМ.
23740;Посторонние предметы возле ГПА №626.
23741;Не открывается дверь в отсек нагнетателя ГПА №611 из-за наледи.
23742;Занесены снегом площадки обслуживания ГПА №612.
23743;ГТЭС-48. ЭМ-2. Тепловой узел №4. Наледь на лестнице.
