Message;Real Risk
Заметен подход к печам П-1.3,4;Низкий
Заметен подход к печам ПГ-1.1,2;Низкий
Заметен подход к печи ПГ-1;Низкий
Заметен подход к печи ПГ-1.1;Низкий
Заметен подход к печи ПГ-1.1 (УППГ-3В);Низкий
Заметен подход к печи ПГ-1.2;Низкий
Заметен подход к печи ППГ-1/4;Низкий
Заметен подход к печи ППГ-1/4;Низкий
Заметен подход к резервному источнику питания ДЭС--1 площадки ЛЭС. Отсутсвует возможность подхода для проведения оперативных переключений.;Низкий
"Заметен поход к площадке обслуживания кранов 103;203. Риск оступиться и получить травму.";Средний
Заметен проход в ЦПГ под галереей.;Низкий
Заметен проход к переходному мостику через эстакаду возле УПТ.;Низкий
"Заметен проход к площадке обслуживания кранов 104;204. Возможно травмирование работников при падении на скользкой поверхности";Средний
Заметен проход на площадку обслуживания сепараторов.;Низкий
Заметен проход под галереей ЦПГ.;Низкий
Заметен снегом вход в технологический корпус с торца здания.;Низкий
Заметён снегом подход к крановому узлу первый группы.;Низкий
Заметен снегом подход к лестнице площадки обслуживания теплообменника Т1А. Риск падения работника при передвижении;Средний
Заметен снегом подход к лестнице Т1А. Риск травмирования работника при подходе к лестнице;Низкий
Заметён снегом подход к переходной лестнице между КЦ-1 и КЦ-2 со стороны Т/А 314.;Низкий
Заметён снегом подход к пожарному гидранту №10.;Низкий
Заметён снегом проход к арматурному блоку печей подогрева газа;Низкий
Заметен снегом проход к площадке осблуживания кранов;Низкий
Заметен снегом проход к пожарному гидранту, затруднен доступ к нему;Низкий
Заметен снегом путь прохожения к ДЭС1.;Низкий
Заметен снегом центральный выход АБК МРУ поз. 9.18;Низкий
Заметена калитка и проход к узлу связи. Возможно травмирование дежурного персонала.;Низкий
Заметена лестница , аварийного выхода БППП.;Низкий
Заметена лестница поз 1. АГРС. Блок редуцирования газа.;Низкий
Заметена лестница поз 83 со стороны СЭБа;Низкий
Заметена снегом площадка возое насосной метанола и ГСМ. Риск травмирования работника при передвижении по площадке;Низкий
Заметена снегом площадка вход в БВС.;Низкий
Заметена снегом площадка кранов №21,22;Низкий
Заметена снегом площадка обслуживания кранов №24,25;Низкий
Заметена снегом площадка обслуживания технологического отделения поз.22.1.1 и компрессорного отделения поз.22.1.2.;Низкий
Заметена снегом площадка ш.крана №36.;Низкий
Заметены подхлды к ПЭБ.;Низкий
Заметены подходы к арматурному блоку печей.;Низкий
Заметены подходы к гидрантам ПГ-7 и ПГ-8;Низкий
Заметены подходы к лестницам подьема-спуска к АВО г. 1группа;Низкий
Заметены подходы к поз.19;Низкий
Заметены подходы ПЭБ;Низкий
Заметены снегом западные ворота ГП;Низкий
Заметены снегом первичные средства пожаротушения здания РММ. Нарушение правил ПБ.;Низкий
Заметены снегом подходы к входным кранам АВО газа поз.30;Низкий
Заметены снегом подходы к входным кранам АВО поз.3;Низкий
Заметены снегом подходы к ГПА 215, СПУ.;Низкий
Заметены снегом подходы к кранам 23,36,22;Низкий
заметены снегом подходы к поз 85;Низкий
Заметены снегом подходы к ПЭБ, ГПУ 211;Низкий
Заметены снегом подходы к узлам подключения №1,2.;Низкий
Заметены снегом подходы к УП №1,2;Низкий
Заметены снегом стекла манометров на БФ ГПА-125;Низкий
Занесен подход для обслуживания ГФУ.;Низкий
Занесен подход к пожарному сухотрубу ЦРД.;Низкий
Занесён подход снегом кранового узла первый группы ДКС.;Низкий
Занесен проход в ПОРД 5.;Низкий
Занесен снегом вход АСППТ.;Низкий
Занесен снегом вход в здание ЦРД;Низкий
Занесен снегом вход в ЦРД;Низкий
Занесен снегом вход УОК;Низкий
Занесен снегом лестничный переход через эстакаду возле Е-3/7.;Низкий
Занесен снегом подход к арматурному блоку ППГ;Низкий
Занесён снегом подход к арматурному блоку ППГ;Низкий
Занесен снегом подход к Б/Б насосной Н-13 Е=8А;Низкий
Занесен снегом подход к блок-боксу насосной метанола;Низкий
Занесен снегом подход к блок-боксу насосной метанола;Низкий
Занесен снегом подход к блок-боксу топливо-раздаточной;Низкий
Занесён снегом подход к входу в агрегат ГПА№916.;Низкий
Занесен снегом подход к крановому узлу второй группы ДКС.;Низкий
Занесен снегом подход к лестнице печи ППГ-1/3;Низкий
занесен снегом подход к ПГ-6;Низкий
Занесён снегом подход к ПГ-6;Низкий
Занесён снегом подход к площадке обслуживания кр.№-36,36а,36р.;Низкий
Занесен снегом подход к пожарной лестнице МКЦ-2.;Низкий
Занесен снегом подход к приёмному коробу насосной метанола.;Низкий
Занесен снегом подход к УОК;Низкий
Занесен снегом пожарный гидрант №1;Низкий
Занесен снегом пожарный гидрант №2;Низкий
Занесён снегом пожарный гидрант №2;Низкий
Занесен снегом пожарный гидрант №3;Низкий
Занесен снегом пожарный гидрант №6;Низкий
Занесён снегом проход к крану Г-517.;Низкий
Занесён снегом проход к лестнице ведущей в УОГ.;Низкий
Занесен снегом проход к насосной метанола (ППГ).;Низкий
Занесен снегом проход к ПГ-4.;Низкий
Занесен снегом проход к ПГ-4.;Низкий
Занесен снегом проход к ПГ-7.;Низкий
Занесен снегом проход к ПГ-8.;Низкий
Занесен снегом проход к печам ПГ-30, 1 очереди ДКС.;Низкий
Занесен снегом проход к печам подогрева топливного газа 1 очереди ДКС.;Низкий
Занесен снегом проход между емкостями Е-6 на складе ДМ;Низкий
Занесен снегом проход мехду ГШ 607 и ПРМ на ППА;Низкий
Занесен снегом эвакуационный выход 13ТП-20.;Низкий
Занесён снегом эвакуационный выход с СЭБ 2-й этаж;Низкий
Занесен эвакуационный выход БППП.;Низкий
Занесена лестница обслуживания ЗРА ГФУ.;Низкий
Занесена снегом входная площадка в УЗГ.;Низкий
Занесена снегом и покрыта наледью эвакуационная лестница БППП. Риск травмирования работника при падении.;Средний
Занесена снегом информационная табличка При передвижении по лестнице держись за перила в районе отсека автоматики;Низкий
занесена снегом лестница входа в ТКПГ;Низкий
занесена снегом лестница выхода из СЭБ;Низкий
занесена снегом лестница выхода из ТКПГ;Низкий
Занесена снегом лестничная площадка входа в ПЗБ ДКС;Низкий
Занесена снегом лестничная площадка входа в ЦРД;Низкий
Занесена снегом лестничная площадка МКЦ-1;Низкий
Занесена снегом лестничная площадка ЦРМ;Низкий
Занесена снегом лестничная площадка,наледь на ступенях выхода №3 ЦРД.;Средний
Занесена снегом остановка автотранспорта КАДС.;Низкий
Занесена снегом площадка обслуживания;Низкий
Занесена снегом площадка обслуживания Г-519;Низкий
Занесена снегом площадка обслуживания емкостей 50Е3/1-4;Низкий
Занесена снегом площадка обслуживания и подход к ней на крановый узел 1-й группы ГПА.;Низкий
Занесена снегом площадка обслуживания ресиверов;Низкий
Занесена снегом площадка перед входом в БВП.;Низкий
Занесена снегом площадка проведения огневых работ около РСБ поз. 82;Низкий
Занесена снегом площадка проведения огневых работ около РСБ поз. 82;Низкий
"Занесена снегом эвакуационная лестница ""Слесарной БВП"".";Низкий
Занесена снегом эвакуационная лестница 2 этажа БППП.;Низкий
Занесена снегом эвакуационная лестница ЦПГ.;Низкий
Занесена снегом эвакуационная лестница ЦРДиМ (сторона АВО).;Низкий
Занесено снегом маршрут обхода УОГ;Низкий
Занесено снегом подходы к складу азота поз.22.14.;Низкий
Занесены подходы к входной группе поз.160;Низкий
Занесены снегом входные площадки в ЗПА.;Низкий
Занесены снегом входные площадки в УОГ.;Низкий
Занесены снегом входы-выходы в ТКПГ.;Низкий
Занесены снегом дорожки у входов в ЗПА;Низкий
Занесены снегом запасные выходы с ПЭБА;Низкий
Занесены снегом информационные знаки безопасности на входе УПТИГ-1 очереди ДКС.;Низкий
"Занесены снегом криогенные аппараты ЦТК -8/0,25; ЦТК- 1,6/0,25; СГУ 1,6/0,25.";Низкий
Занесены снегом маршруты передвижения и маршрутные лестницы цехов.;Низкий
Занесены снегом основной и запасной выходы с УПТИГА 1оч. ДКС.;Низкий
Занесены снегом площадки обслуживания БЕ-501-1, БЕ-501-2;Низкий
Занесены снегом площадки обслуживания ГПА;Низкий
Занесены снегом площадки обслуживания ГПА №711;Низкий
"Занесены снегом площадки обслуживания кранов № 1, 4, 4р, 2, 5, 6, ""Моквелд"".";Низкий
Занесены снегом площадки обслуживания ресиверов;Низкий
Занесены снегом площадки обслуживания Т-3/1,2,3.;Низкий
Занесены снегом площадки обслуживания УПАН;Низкий
Занесены снегом площадки обслуживания УПТИ и УГ и ДКУ;Низкий
"Занесены снегом площадки обслуживания, пневмоприводы кранов № 1, 2, 4, 4р, 5, 6, АПРК "" Моквелд"".";Низкий
Занесены снегом площадки обслуживания, подходы к маршрутным лестницам на ГПА.;Низкий
Занесены снегом подход и площадка обслуживания Е-308, Е-301а - УРДиМ;Низкий
Занесены снегом подход и площадка обслуживания Е-408 и Е-401а.;Низкий
Занесены снегом подход к блок-боксу топливо-раздаточной;Низкий
Занесены снегом подходы в УПТИГ.;Низкий
Занесены снегом подходы к агрегату ГПА№911.;Низкий
Занесены снегом подходы к агрегату ГПА№913.;Низкий
Занесены снегом подходы к агрегату ГПА№914.;Низкий
"Занесены снегом подходы к входам в ПЭБ.
";Низкий
Занесены снегом подходы к ГПА№615.;Низкий
Занесены снегом подходы к ГПУ;Низкий
Занесены снегом подходы к ГЩУ ДКС;Низкий
Занесены снегом подходы к Е-1.1, Е-1.2.(пробкоуловителям).;Низкий
Занесены снегом подходы к заглубленным емкостям ГСМ ДКС.;Низкий
Занесены снегом подходы к лестничным маршем и площадки обслуживания на Установке Технологических Емкостей.;Низкий
Занесены снегом подходы к маршрутным лестницам АВО газа.;Низкий
Занесены снегом подходы к маршрутным лестницам утилизатора тепла (УТО).;Низкий
Занесены снегом подходы к насосной ГСМ;Низкий
Занесены снегом подходы к площадкам обслуживания кранов узла подключения КЦ-2.;Низкий
Занесены снегом подходы к поз 4;Низкий
Занесены снегом подходы к складу ГСМ, б/б ГСМ, б/б ДЭГа и метанола.;Низкий
Занесены снегом подходы к цеху и к площадкам обслуживания дренажных емкостей и емкостей аварийного слива - УРДиМ.;Низкий
Занесены снегом подходы ко входу в поз.3;Низкий
Занесены снегом подходы, переходы к складу ГСМ.;Низкий
Занесены снегом подходы, подъезды к пожарному гидранту на территории базы ЛЭС;Низкий
Занесены снегом пожарные гидранты №1-6;Низкий
Занесены снегом пожарные гидранты №-27,28;Низкий
Занесены снегом пожарные гидранты №№1-6;Низкий
Занесены снегом привода кранов обвязки ЦБН;Низкий
Занесены снегом приводы кранов узла подключения КЦ-2;Низкий
Занесены снегом проходы поз 1;Низкий
Занесены снегом пути передвижения к ЗПА;Низкий
Занесены снегом пути передвижения к УОГ;Низкий
Занесены снегом пути передвижения между цехами по территориии УКПГ.;Низкий
Занесены снегом пути передвижения на маслохозяйстве.;Низкий
Занесены снегом пути передвижения ПТПГ-30, 2 очереди ДКС.;Низкий
Занесёны снегом СПМГ в р-не поз.14;Низкий
Занесены снегом СПМГ поз.313;Низкий
Заносы снега на входе в УХЗГ;Низкий
Заносы снега на подходах к ГПА.;Низкий
Заносы снега у входа в цех УПГ,УРДМ, СП-501 и СП-502.;Низкий
Заносы снега у входа в ЩСУ СИКГК;Низкий
Заносы снега у входов в БПТиИГ.;Низкий
Заносы снега, наледь на путях передвижения, риск падения работника на скользкой поверхности;Средний
Запарошены снегом запасные выходы с ПЭБА.;Низкий
Запыленность корпуса В-№-1 в БПТПГ КЦ-№-2;Низкий
Запыленность корпуса В-№-1 в помещении ПЭБ.;Низкий
Заснежен выход из здания БППП.;Низкий
Заснежен подход к лестнице пож.выхода ЦПГ к АВО газа;Низкий
Заснежен пож.ящик с песком на площадке сварочного поста;Низкий
Заснежен пожарный щит № 1;Низкий
"заснежена информационная табличка ""держись за перила"" пож.выхода из ЦРДиМ к АВО газа";Низкий
Заснежена лестница площадки обслуживания ППА;Низкий
Заснежена площадка обслуживания БЕ-501-1, БЕ-501-2;Низкий
заснежена площадка пож.выхода из ЦПГ в сторону редуцирования газа СН;Низкий
Заснежена стойка сигнализации загазованности в ЦПГ со стороны узла подключения ДКС;Низкий
Заснеженность входной лестницы на ЗПА;Низкий
Заснеженность на входных лестницах БППП;Низкий
Заснеженность на входных лестницах к ГПА, КЦ №2.;Низкий
Заснеженность подхода и входной лестницы МКЦ №2;Низкий
Заснеженность подхода и входной лестницы у теплопункта НДиМ;Низкий
Заснежено с торца БППП;Низкий
Заснежены знаки безопасности на входе в УОГ.;Низкий
Заснежены знаки безопасности на площадке ПТПГ-30 2 очереди ДКС.;Низкий
"Заснежены переходы площадок обслуживания кранов ""гитары""АВО газа";Низкий
Заснежены пути передвижения, скользко;Средний
Засохшие валики в камере ВХ4;Низкий
Засыпаны снегом привода кранов обвязки ЦБН;Низкий
Засыпаны снегом привода кранов обвязки ЦБН;Низкий
Затруднен подход к ПГ-5, переметы снега (УППГ-3В);Низкий
Затруднен подход к площадке обслуживания, переметы снега;Низкий
Затруднен проход в склад через ворота 3;Низкий
"Затруднен проход к площадке обслуживания кранов 103;203. Заметено снегом.";Низкий
Здание АБК РЭЦ обледенение лестничных маршей.;Средний
Здание УМВ, над входом №2 не горит светильник уличного освещения.;Низкий
Здание УМВ. Дверь входа №2 заметена снегом, образовалась наледь.;Средний
Здание установки очистки газа вход в венткамеру, занесен снегом.;Низкий
Здание установки очистки газа вход, занесен снегом.;Низкий
Здание установки очистки газа выход, занесен снегом.;Низкий
Здание ЦЭиОСО. Отсутсвует знак запрета складирования на путях эвакуации.;Низкий
"Знак безопасности ""Передвигаясь по лестнице,держись за перила"" возле переходной лестницы Е-9 ЦРДиМ находится в ненадлежащем состоянии.";Низкий
Знаки безопасности на уличных переходах залеплены снегом.;Низкий
ЗПА - Снег на путях передвижения.;Низкий
ЗПА - Снег на путях передвижения.;Низкий
ЗПА - Снег свисания на козырьках(вход-выход);Средний
ЗПА АВВ-1 порвана мягкая вставка;Низкий
ЗПА занесены снегом пожарные выходы;Низкий
ЗПА не горит аварийное освещение;Низкий
ЗПА не достаточное освещение;Низкий
ЗПА не исправен доводчик двери пож.выхода;Низкий
ЗПА отсутствует освещение на центральном проходе;Низкий
ЗПА отсутствует освещение на центральном проходе;Низкий
ЗПА сломана ручка входной двери;Низкий
ЗПА щитовая КИПиА нет освещения;Низкий
ЗПА, наледь на переходной площадке на входе в ЩСУ;Средний
ЗПА, отсуствует освещение в тамбур-шлюзе.;Низкий
ЗПА, отсутствует пломба крана Г-101/16.;Низкий
ЗПА-1 Ветошь на площадке обслуживания задвижки 1Z2;Низкий
ЗПА-1 не закреплена табличка ответственных за пожарную безопасность помещения (тамбур шлюз);Низкий
ЗПА-2 БРМ подачи метанола на шлейф КГС 333-334 отсутствует обозначение обратного клапана;Низкий
ЗРУ-110 кВ углекислотный огнетушитель «ОУ-10» не зафиксирован, вероятность падения.;Низкий
Информационная бирка на угловом штуцере не соответсвует технологической схеме на скважине 514.5.;Низкий
Информационная табличка знак безопасности на входе в цех потускнела пришла в негодность;Низкий
Информационная табличка на Ф-401-3 устарела , плохо читаема;Низкий
Информационные бирки на ЗРА не соответствуют технологической схеме на скв. 504.5.;Низкий
Информационный стенд перед въездом на территорию базы РЭЦ заметен снегом.;Низкий
Истек срок годности огнетушителя в архиве;Низкий
К подходам АБК следует дополнить противоскользящий материал, имеются пробелы наледи на проходных путях.;Средний
Кабельная эстакада заметена снегом, избыточная на высоковольтные К.Л.;Низкий
Кабельная эстакада у поз.41, провисание кабеля (слетел с кабельных полок).;Низкий
"Капельная утечка масла ,на входном трубопроводе (фланце) насоса Н-3
в насосной маслохозяйства.";Низкий
Капельный подтек масла Н11-2 в ЦРМ;Низкий
Касание площадки об элементы ЗРА на скважине 512.2.;Низкий
КГС 817.3 система подачи ингибитора - пропуск метанола по штуцерному соединению перед обратным клапаном.;Низкий
кгс №11 скв 05 - нет бирки с технологическим номером на запорной арматуре;Низкий
КГС №19 оторвана табличка на воротах;Низкий
КГС№11 нет бирки с тех.номером;Низкий
КГС№113 скважина 01 на задвижке отсутствует указатель открыто-закрыто;Низкий
КГС№21 на кусту не закрыты ворота;Низкий
КНС РММ. Не работает в автоматическом режиме насос откачки канализационных стоков.;Низкий
КНС. Антигололёдное состояние подхода к маршрутной лестнице (риск падения человека). Отсутствие таблички с наименованием измеряемого параметра.;Средний
КНС. Снег и наледь на вентиляционных дефлекторах КНС.;Низкий
Коллектор сухого газа, Г-517, занесены снегом подходы и площадка обслуживания.;Низкий
Компрессор воздуха КИПиА в пыли.;Низкий
Контрольно-пропускной пункт (КПП), вход, выход занесен снегом.;Низкий
Контрольно-пропускной пункт, выход наледь, скольская поверность на пути передвижения.;Средний
Корпус Б 3 этаж. Возможно потенциальное происшествие! Спотыкание о ковровое покрытие с возможным падением и получением травм в связи с неровным ковровым покрытием.;Средний
КОС УКПГ-3, ЩСУ-0,4 кВ. Не промаркирован (отсутствует бирка) на магнитном пускателе №16.;Низкий
"КПП электрощитовая.
Отсутсвует диспетчерское наименовние на понижающем трансформаторе 220/12В";Низкий
КЦ-1 БПТТиГ Замерная линия №1,2,3 мелкий мусор.;Низкий
КЦ-1 БТТиГ вход, обледенение лестницы и мелкий мусор под замернаой линии №1,2.;Средний
КЦ-1 ПТГ №1,2 обледенение ступеней лестницы.;Средний
КЦ-1 ПТГ №1,2 снежный покров на площадке обслуживания.;Низкий
КЦ-1 ПТГ-1 и ПТГ-2, заметины подходы снегом.;Низкий
КЦ-2 ПТГ №2 арматурный блок, посторонние вещи.;Низкий
КЦ-2 Т/А 326 отсек нагнетателя, остатки кусков ветоши.;Низкий
КЦ-2 УПТТиГ Аппаратная КИПиА, перегорела лампа освещения.;Низкий
КЦ-2 УПТТиГ обледенение ступеней лестницы при входе.;Средний
Лед и снег на колпаке дымохода ПТПГ 30-1,2;Низкий
Лед леред лестницей входа в арматурный блок ППГ.;Средний
Лед между шлейфами 510 и 504 на ППА.;Низкий
Лёд на входе в ОД ГПУ №214;Средний
Лед на козырьке у входа в арматурный блок ППГ;Средний
Лед на колпаке дымовой трубы ПТПГ30 1,2.;Низкий
Лед на площадке и лестничном пролете пожарного выхода УПТГ Поз.№13.;Средний
Лед на подходах к БППП - возможно падение работников;Средний
Лед над выходом с ТКДМ (от Е-4, ВХ-3), возможно падение на работника;Средний
Леденая глыба от крыши до основания здания угол ЦРД на против 15ТП-2.;Средний
Лестница аварийного выхода АБК заметена снегом.;Низкий
Лестница входа БВС . Образование наледи.;Средний
Лестница и просечки на ППА заметены снегом.;Низкий
Лестница на входе в насосную не очищена от снега и наледи;Средний
Лестница склада хранения жидкости аварийного глушения скважин заметена снегом.;Низкий
Лопата на выходе с вх 5 на улице;Низкий
Лопнуло крепление таблички с диспетчерскими наименованиями на опоре №2 ВЛ-6кВ отпайка 50ВЛ-59 на 50ТП-123, табличка упала на землю рядом с опорой. Выявленный недостаток привел к отсутствию диспетчерского наименования опоры.;Низкий
Лопнут раструб на огнетушителе в ПЭБ.;Низкий
Маркировка насосов Н-20а не соответствует технологической схеме.;Низкий
Маршевая лестница площадки обслуживания воздушного холодильника ВХ-1К занесена снегом, риск падения и травмирования работника;Средний
Маршевая лестница площадки обслуживания емкости Е-4Б занесена снегом, риск падения и травмирования работника.;Средний
Масленый подтек по штоку задвижки №8д в МКЦ-2;Низкий
Маслянные подтеки на станине Н-401-1;Низкий
Маслянные подтеки на станине Н-404.1;Низкий
Маслянные подтеки на станине Н-404-1;Низкий
Масляные загрязнения поверхности пола, фундамента насоса Н-20/1;Низкий
"Маш. зал Модуля №4.
Неисправность теплообменника агрегата отопительного.";Низкий
"Машинный зал модуля №1
Отсек двигателя ГТУ №2.
Слетела демпфирующая проставка кабеля датчика вибрации компрессора.";Низкий
"Машинный зал модуля №1.
Не закреплен теплоотражающий экран";Низкий
"Машинный зал Модуля №1.
Неисправность теплообменника агрегата отопительного №5.";Низкий
"Машинный зал модуля №3. Отсек двигателя ГТУ№6.
Вылетела уплотнаяющая вставка хомута крепления маслопровода.";Низкий
"Машинный зал модуля №3.Отсек ВКП ГТУ№5.
Отсутсвует контровка болтовых соединений на фланце подключения сбросного газопровода пусковой турбины";Низкий
"Машинный зал модуля №4
Поврежден наличник стыка стеновых панелей у ПК-49.";Низкий
Механизм самозакрывания входной двери (доводчик) не функционирует (ст. 88 ФЗ №123);Низкий
"Модуль 1 ЭТБ коридор.
Пороги дверей окрашены в желтый цвет без черного.";Низкий
"Модуль 3. ЭТБ
Термометр на стене.
Расколото стекло, заклеено скотчем.";Низкий
Модуль №1 ЭТБ: на эл. распред. коробки отсутствует опоз-й знак «Опасность поражения эл. током».;Низкий
Молоток не соответствует требованиям безопасности.;Низкий
Моргает лампочка БА-1;Низкий
Мусор в галерее БППП.;Низкий
Мусор в отсеке нагнетателя;Низкий
Мусор в помещении (склад).;Низкий
Мусор и лишние предметы на верстаке.;Низкий
Мусор на территории скважины 216.1.;Низкий
Мусор на территории скважины 507.5.;Низкий
Мусор на территории скважины 509.1.;Низкий
Мусор около токарного станка.;Низкий
Мусор, посторонние предметы (ящик) в помещении дистилляторной п.324 после установки нового дистиллятора.;Низкий
Мусор, посторонние предметы в ангаре ГПА №215.;Низкий
Мусор, посторонние предметы в помещении;Низкий
Н-1. Насосная метанола. Подтеки масла.;Низкий
На воздухосборниках В-6.3, В-10 снеговые шапки. Есть угроза падения работников.;Средний
"На воротах п.337 обветшала табличка ""запретная зона! проезд закрыт!";Низкий
"На входе в ТКПГ нарушена целостность таблички, ""малозаметные препятствия"".";Низкий
"На входе в ЦПГ отсутствует знак безопастности ""Работать в наушниках""";Низкий
На входной двери слесарной мастерской РММ сломан доводчик дверей.;Низкий
На входной двери со стороны ПТПГ-30 неисправно устройство самозакрывания (доводчик).;Низкий
На выходе из ТКПГ в сторону ЗППА образовалась лужа из-за талого снега. Риск падения работника при входе-выходе из здания;Средний
На выходе с СЭБ, наледь на нижних ступенях лестницы.;Средний
На выходе с ТКПГ на УТЕ, на козырьке крыши, скопление снега и льда(сосулек).;Низкий
На выходе с ТКПГ на УТЕ, скопление льда и снега на козырьке крыши.;Средний
На выходе с ТКПГ НМ, на козырьке крыши, скопление льда и снега.;Низкий
На ГП-3С КОС-75 прослаблен хомут бака промывки лампы УФО.;Низкий
На ДЭС- 3 оборван поводок заземления противопожарной двери.;Средний
На здание УОГ сосулки и снеговые шапки.;Низкий
"На зоне ""В"" на 13 т.н. , занесена снегом ЗРА.";Низкий
На КГС №134 упал кабель ЭХЗ с эстакады.;Низкий
На козерке выход из ЦПГ образовались сосульки.;Средний
На козырьке АБК №1 накопился снег.Наледь на ступеньках при входе в РММ.В РММ возле слесарного стола масляное пятно.;Средний
На козырьке на входе в ЗППА снеговая шапка.;Низкий
На корпусе воздухавода АВОМК отсутствует обозначение направления движения среды, ГПА №-915.;Низкий
На КОС-30 ГП-1С начитаем указатель направления потока на трубопроводе очищенной сточной воды;Низкий
На кранах обвязки ГПА 515 снежные наносы;Низкий
На крыше блок-бокса КИПиА накопился снег и свисает над входной дверью.Сломан замок на въездных воротах №1 АГРС.;Низкий
На лестнице аварийного выхода присутствует нанос снега ,здание БВП;Низкий
На лестнице между ощежитием №44 и зданием Поссовета, в направлении от общежития в сторону КСК наклон третьей ступени снизу не соответствует наклону других ступеней. Возможно спотыкание, падение и травмирование людей, передвигающихся по этой лестнице.;Средний
На лопостях АВО-газа 1.1 образовалась наледь. (возможно получение травмы при включении).;Средний
На манометре метанолопровода куста 927 красная стрелка указывающее рабочее давление отломалась;Низкий
На манометре метанолопровода куста №956 отлетела красная стрелка указывающее рабочее давление;Низкий
На манометре отлетела красная стрелка указывающая рабочее давление С-201-1;Низкий
"На месте хранения дежурного слесарного инвенторя в ПЭБе
обнаружен сломанный рожковый ключ.";Низкий
На насосе Н-3/1 повышенная утечка перекачиваемой жидкости через сальниковую набивку.;Низкий
На насосе Н-5а/1 повышенная утечка перекачиваемой жидкости через сальниковую набивку.;Низкий
"На оборудовании выведенном в ремонт отсутствует табличка ""ремонт""";Низкий
"На объекте «Здание теплая стоянка на 24 автомобиля» ул. Геологоразведчиков 9, имеются участки, заметенные снегом:
- вход в здание тёплой стоянки с левой стороны;
- проход к вольеру служебных собак ООЗИ ОМЗ ф. СКЗ;
- запасные выходы вокруг тёплой стоянки.
Так же над входом в здание и над входом в вольер служебных собак имеются снежные навесы.
В связи с образовавшимися сугробами и снежными навесами с крыши увеличиваются риски получения травм у инспекторского состава ООЗИ и работников Общества, осуществляющих служебные обязанности на данном объекте. Снежные заносы в местах движения персонала достигают 50-60 см.";Средний
На перилах маршевой лестницы ЦРМ намотана проволока. Риск травмирования работника при подъеме-спуске по лестнице;Средний
На площадке обслуживания БЕ-501-1, БЕ-501-2, снег;Низкий
На площадке обслуживания ГПА № 413 лежат постороние предметы.;Низкий
На площадке обслуживания и лестниц к площадке, снежный покров Е-303, Е-304;Низкий
На поз. 10В «Инженерно-технический центр» в кабинке 236 неисправен выключатель основного освещения, что создает вероятность оставления освещения в период неиспользования кабинета и неразумного использования электроэнергии. Так же возможна опасность короткого замыкания, так как выключатель не работает штатно.;Низкий
На поз. 10В «Инженерно-технический центр» перед входом в кабинет 227 отклеилась плитка напольного покрытия, что создает опасность падения и получения травмы при входе в кабинет. Плитка целая. Необходимо только приклеить.;Средний
